comp1,comp2,response
21.97776,7.585244,0
-15.980927,21.83485,0
6.3758607,-24.317266,0
25.721933,-9.263498,0
3.257048,26.973804,0
-2.9828258,-13.007726,0
-27.841957,29.144371,0
-10.114196,-13.043615,0
-12.741324,-2.8013978,0
-11.151768,-24.569706,0
11.555663,-10.146338,0
27.397402,-0.26458842,0
13.838763,11.791195,0
-20.34702,-20.408854,0
39.234917,-10.929787,0
10.256644,-31.2879,0
-31.669483,17.893467,0
-23.497593,23.495401,0
-28.392591,14.865191,0
10.724375,23.96367,0
22.814787,-3.059775,0
-24.323874,-9.075921,0
-27.797468,27.056904,0
16.397678,19.593533,0
3.876263,-0.27025887,0
5.271237,-26.032372,0
-10.637755,-0.3949468,0
-6.9873896,-24.323553,0
27.247663,-7.520908,0
34.44191,-18.740965,0
5.002205,8.37924,0
7.916926,-2.9205465,0
35.580982,4.876147,0
36.723297,0.5951411,0
-38.778076,6.179495,0
-12.379914,9.9924345,0
22.263401,-28.584146,0
32.172504,-7.9429884,0
-17.271133,24.258348,0
41.09879,-3.0952647,0
19.934227,12.211705,0
31.672571,-35.19066,0
-24.113531,1.0026674,0
-11.436603,-24.905346,0
-11.22174,-16.81464,0
14.063911,3.410028,0
-39.58256,19.143147,0
3.7920282,-28.01673,0
-40.55452,20.379906,0
-29.061743,5.448814,0
-10.0537615,10.073247,0
-0.7787321,32.746876,0
3.0352511,11.707154,0
-10.26079,-18.755089,0
-2.9382422,-29.31034,0
-13.145117,-5.416371,0
-26.214548,-12.50211,0
-31.10035,20.62706,0
-23.654942,7.4685,0
-21.357708,18.084404,0
36.755535,0.6104974,0
6.1237717,13.236673,0
6.4225116,12.815927,0
25.129213,-29.108437,0
-9.96152,-21.83045,0
-1.4978073,-16.676908,0
10.378428,24.031845,0
-10.149553,-7.0992517,0
-21.15262,21.186132,0
-7.2392535,-11.365318,0
4.772836,-45.704853,0
-9.767392,-19.023539,0
-15.637635,4.5069513,0
-0.14250095,-36.15052,0
-11.931128,-0.44992736,0
-25.66015,13.945528,0
34.4483,-18.782606,0
22.432373,-32.217896,0
-18.223204,-13.336982,0
-24.608578,9.381076,0
35.63668,-21.221182,0
-11.666888,-9.65903,0
-38.093143,8.956786,0
-18.817562,10.890971,0
-17.20816,22.489843,0
31.053305,4.3941636,0
11.632308,-17.399502,0
-25.00626,2.1085372,0
-6.6422505,-13.953399,0
33.530193,-15.842815,0
19.66794,-23.974468,0
15.603478,-15.813542,0
25.51701,11.030727,0
15.816769,-23.844316,0
-30.439768,6.8853073,0
8.749162,-34.32728,0
-6.038739,-26.172592,0
-7.517618,9.690321,0
-3.1016116,-1.6737471,0
-12.967863,6.2530193,0
12.551517,7.997228,0
34.644466,4.452271,0
0.34218186,-24.445757,0
-35.48659,7.519144,0
17.842033,-18.836092,0
12.469991,23.71574,0
27.852545,-35.69522,0
-12.253809,22.705418,0
-34.625595,21.091774,0
-8.386141,21.373117,0
7.3984623,-29.356169,0
25.886215,-22.858456,0
15.847947,-2.1996577,0
-5.5198164,9.920562,0
18.736212,-17.438301,0
-20.570436,26.166332,0
5.9565315,-32.599636,0
15.210467,-19.35513,0
-10.582648,12.706937,0
-42.052444,21.134834,0
27.023384,-6.4094167,0
24.86087,7.221564,0
32.70783,11.504305,0
21.396177,-14.348219,0
22.032087,4.31439,0
-1.636525,-13.537506,0
22.152576,-9.815067,0
17.285341,-0.52162564,0
6.7171307,-8.504782,0
7.0354404,8.38042,0
-1.9776525,23.119392,0
-15.074482,-20.189219,0
-39.495083,20.883354,0
-23.740915,-21.006092,0
2.9947066,-17.726751,0
9.057519,14.508066,0
11.532775,-14.07511,0
24.36508,-23.360275,0
-19.30707,-16.007765,0
-16.291437,-24.209822,0
19.787685,-31.919079,0
32.525105,-22.037638,0
28.547787,-1.8904138,0
24.464958,-2.4730482,0
16.127449,-9.27783,0
-6.589427,-7.935113,0
4.1350427,-24.058302,0
-5.554132,-14.845171,0
19.431803,0.74705577,0
12.021833,14.062139,0
19.7397,-24.014462,0
-17.117788,9.839021,0
-17.2085,-10.107773,0
9.176454,-3.127765,0
-3.0491762,36.849144,0
6.2970014,-22.85974,0
-3.5516675,17.727377,0
-25.533392,-12.618369,0
19.09454,-5.4170012,0
10.78662,18.138353,0
